"year_nr","month_nr","total_volume"
2015,3,762973631
2015,2,513512421
2015,1,437237364
2015,12,465977982
2015,11,585465806
2015,10,446415750
2015,9,429747342
2015,8,509831493
2015,7,269918808
2015,6,539724137
2015,5,805360900
2015,4,600075501
2016,12,863300491
2016,11,835680215
2016,10,956644732
2016,9,997148264
2016,8,919122686
2016,7,1241493932
2016,6,1045290144
2016,5,1373175836
2016,4,1166675947
2016,3,1006135863
2016,2,746453689
2016,1,821233644
2017,12,1371751453
2017,11,991398641
2017,10,1351885628
2017,9,1018679573
2017,8,1028519796
2017,7,1354098472
2017,6,1337140175
2017,5,1350288922
2017,4,1737980649
2017,3,1538615036
2017,2,1258911220
2017,1,1115823375
2018,3,1528822958
2018,2,1546608651
2018,1,1253054176
