"region","total_4770","total_4225","total_4046","total_volume"
HarrisburgScranton,605790,536575,513842,122696666
HartfordSpringfield,806130,714025,683774,144209806
Houston,806130,714025,683774,363662264
Indianapolis,806130,714025,683774,74702165
Jacksonville,806130,714025,683774,49278043
LasVegas,806130,714025,683774,147261843
LosAngeles,806130,714025,683774,1244673311
Louisville,806130,714025,683774,42241629
MiamiFtLauderdale,806130,714025,683774,59465832
Midsouth,806130,714025,683774,1645590424
Nashville,806130,714025,683774,125407760
NewOrleansMobile,806130,714025,683774,55957428
NewYork,806130,714025,683774,832366618
Northeast,806130,714025,683774,2231472316
NorthernNewEngland,806130,714025,683774,197053239
Orlando,806130,714025,683774,82229312
Philadelphia,806130,714025,683774,212875684
PhoenixTucson,806130,714025,683774,183940874
Pittsburgh,806130,714025,683774,89347041
Plains,806130,714025,683774,791033394
Portland,806130,714025,683774,494664622
RaleighGreensboro,806130,714025,683774,143734075
RichmondNorfolk,806130,714025,683774,141922539
Roanoke,806130,714025,683774,128480772
Sacramento,806130,714025,683774,125076644
SanDiego,806130,714025,683774,230149033
SanFrancisco,806130,714025,683774,335365237
Seattle,806130,714025,683774,654562053
SouthCarolina,806130,714025,683774,134426679
SouthCentral,806130,714025,683774,1663066311
Southeast,806130,714025,683774,906555485
Spokane,806130,714025,683774,51804367
StLouis,806130,714025,683774,96403686
Syracuse,806130,714025,683774,41248588
Tampa,806130,714025,683774,64189258
TotalUS,806130,714025,683774,14756618877
West,806130,714025,683774,3435317593
WestTexNewMexico,791820,701350,671636,219124436
Albany,558090,494325,473382,26673438
Atlanta,558090,494325,473382,147345402
BaltimoreWashington,558090,494325,473382,298412497
Boise,558090,494325,473382,27883236
Boston,558090,494325,473382,190200901
BuffaloRochester,558090,494325,473382,70949482
California,558090,494325,473382,1758006501
Charlotte,558090,494325,473382,89734660
Chicago,558090,494325,473382,391617412
CincinnatiDayton,558090,494325,473382,176775938
Columbus,558090,494325,473382,103415813
DallasFtWorth,558090,494325,473382,255077172
Denver,558090,494325,473382,387636393
Detroit,558090,494325,473382,198451432
GrandRapids,558090,494325,473382,44714301
GreatLakes,558090,494325,473382,1637104821
