"id","date","average_price","total_volume","4046","4225","4770","total_bags","small_bags","large_bags","xlarge_bags","type","year_nr","region"
42,"2015-03-08",16,609501,1808,35334,0,572359,572359,0,0,organic,2015,HarrisburgScranton
43,"2015-03-01",174,30637,4466,26654,783,274467,274467,0,0,organic,2015,HarrisburgScranton
44,"2015-02-22",168,340024,224,15259,1146,321379,321379,0,0,organic,2015,HarrisburgScranton
45,"2015-02-15",165,470171,4913,2611,1603,437545,437545,0,0,organic,2015,HarrisburgScranton
46,"2015-02-08",167,34082,352,13656,0,323644,323644,0,0,organic,2015,HarrisburgScranton
47,"2015-02-01",165,379616,3955,15113,0,360548,360548,0,0,organic,2015,HarrisburgScranton
48,"2015-01-25",18,217191,9775,17142,0,190274,190274,0,0,organic,2015,HarrisburgScranton
49,"2015-01-18",194,13555,5054,12776,874,116846,116846,0,0,organic,2015,HarrisburgScranton
50,"2015-01-11",165,388288,9015,28815,0,350458,350458,0,0,organic,2015,HarrisburgScranton
51,"2015-01-04",168,289672,16168,20696,0,252808,252808,0,0,organic,2015,HarrisburgScranton
0,"2015-12-27",232,55265,8859,373301,681,169809,161934,7875,0,organic,2015,HartfordSpringfield
1,"2015-12-20",224,399859,22269,187444,23089,167057,167057,0,0,organic,2015,HartfordSpringfield
2,"2015-12-13",234,692391,7532,215416,241025,228418,228418,0,0,organic,2015,HartfordSpringfield
3,"2015-12-06",216,273909,19225,217925,1511,35248,34915,333,0,organic,2015,HartfordSpringfield
4,"2015-11-29",233,163272,303,147657,0,12585,8973,3612,0,organic,2015,HartfordSpringfield
5,"2015-11-22",231,231813,13816,207991,138,9868,8307,1561,0,organic,2015,HartfordSpringfield
6,"2015-11-15",223,242895,13567,207943,0,21385,20154,1231,0,organic,2015,HartfordSpringfield
7,"2015-11-08",214,287854,11332,219902,0,5662,55388,1232,0,organic,2015,HartfordSpringfield
8,"2015-11-01",196,417783,8845,239947,972,168019,139022,28997,0,organic,2015,HartfordSpringfield
9,"2015-10-25",198,388553,5415,223258,972,158908,3395,124958,0,organic,2015,HartfordSpringfield
10,"2015-10-18",218,242025,3276,178515,0,60234,39875,20359,0,organic,2015,HartfordSpringfield
11,"2015-10-11",227,281911,9726,214444,0,57741,38642,19099,0,organic,2015,HartfordSpringfield
12,"2015-10-04",23,285532,6428,226913,554,51637,39642,11995,0,organic,2015,HartfordSpringfield
13,"2015-09-27",241,455935,5388,43173,414,18403,15947,2456,0,organic,2015,HartfordSpringfield
14,"2015-09-20",231,270077,17918,245991,276,5892,5892,0,0,organic,2015,HartfordSpringfield
15,"2015-09-13",236,286818,4948,250901,275,30694,30694,0,0,organic,2015,HartfordSpringfield
16,"2015-09-06",237,405862,17282,366753,274,21553,20943,61,0,organic,2015,HartfordSpringfield
17,"2015-08-30",233,264101,8892,217297,0,37912,37304,608,0,organic,2015,HartfordSpringfield
18,"2015-08-23",231,292846,11728,230209,0,50909,50909,0,0,organic,2015,HartfordSpringfield
19,"2015-08-16",239,375316,13606,205379,272,33605,33605,0,0,organic,2015,HartfordSpringfield
20,"2015-08-09",231,507846,194188,265617,136,47905,47905,0,0,organic,2015,HartfordSpringfield
21,"2015-08-02",242,26763,8267,250323,136,8904,8904,0,0,organic,2015,HartfordSpringfield
22,"2015-07-26",239,26063,6761,248767,0,5102,4769,333,0,organic,2015,HartfordSpringfield
23,"2015-07-19",245,296069,809,283242,404,4333,4333,0,0,organic,2015,HartfordSpringfield
24,"2015-07-12",238,284366,12216,258519,0,13631,13631,0,0,organic,2015,HartfordSpringfield
25,"2015-07-05",24,429554,16042,378657,0,34855,34855,0,0,organic,2015,HartfordSpringfield
26,"2015-06-28",231,27904,13318,252205,0,13517,13517,0,0,organic,2015,HartfordSpringfield
27,"2015-06-21",24,377607,7433,337521,0,32653,29986,2667,0,organic,2015,HartfordSpringfield
28,"2015-06-14",225,355166,12354,295788,793,46231,46231,0,0,organic,2015,HartfordSpringfield
29,"2015-06-07",234,347825,27638,278748,132,41307,41307,0,0,organic,2015,HartfordSpringfield
30,"2015-05-31",224,319341,27409,248929,1836,41167,41167,0,0,organic,2015,HartfordSpringfield
31,"2015-05-24",236,355025,8497,301217,183,43481,43481,0,0,organic,2015,HartfordSpringfield
32,"2015-05-17",23,348539,4631,285486,261,58161,58161,0,0,organic,2015,HartfordSpringfield
33,"2015-05-10",231,448497,792,37966,389,60528,60528,0,0,organic,2015,HartfordSpringfield
34,"2015-05-03",155,637285,4529,583235,2071,4745,4745,0,0,organic,2015,HartfordSpringfield
35,"2015-04-26",224,284396,5297,216059,516,62524,62524,0,0,organic,2015,HartfordSpringfield
36,"2015-04-19",227,325343,8248,263667,129,53299,53299,0,0,organic,2015,HartfordSpringfield
37,"2015-04-12",216,382842,1835,289262,0,7523,7523,0,0,organic,2015,HartfordSpringfield
38,"2015-04-05",218,278949,998,192765,259,75945,75945,0,0,organic,2015,HartfordSpringfield
39,"2015-03-29",227,22208,8835,184621,0,28624,28624,0,0,organic,2015,HartfordSpringfield
40,"2015-03-22",218,284849,14861,227605,0,42383,42383,0,0,organic,2015,HartfordSpringfield
41,"2015-03-15",226,272738,8369,223424,0,40945,40945,0,0,organic,2015,HartfordSpringfield
42,"2015-03-08",218,328602,15285,252464,0,60853,60853,0,0,organic,2015,HartfordSpringfield
43,"2015-03-01",217,305004,5915,215892,263,82934,82934,0,0,organic,2015,HartfordSpringfield
44,"2015-02-22",238,483437,67044,374731,264,41398,41398,0,0,organic,2015,HartfordSpringfield
45,"2015-02-15",213,275392,30433,179705,0,65254,65254,0,0,organic,2015,HartfordSpringfield
46,"2015-02-08",237,522336,4913,453132,1593,62698,62698,0,0,organic,2015,HartfordSpringfield
47,"2015-02-01",154,608448,8808,540605,267,58768,58768,0,0,organic,2015,HartfordSpringfield
48,"2015-01-25",221,192019,7354,160272,936,23457,23457,0,0,organic,2015,HartfordSpringfield
49,"2015-01-18",235,255209,3956,223379,1207,26667,26667,0,0,organic,2015,HartfordSpringfield
50,"2015-01-11",228,346361,7931,319097,0,19333,19333,0,0,organic,2015,HartfordSpringfield
51,"2015-01-04",232,48011,8756,436401,0,34953,34953,0,0,organic,2015,HartfordSpringfield
0,"2015-12-27",131,105983,479741,5791,0,574298,481551,92747,0,organic,2015,Houston
1,"2015-12-20",127,925324,446303,8826,0,470195,327823,142372,0,organic,2015,Houston
2,"2015-12-13",135,1149489,475711,9357,0,664421,663626,795,0,organic,2015,Houston
3,"2015-12-06",149,821698,478728,857,0,3344,3344,0,0,organic,2015,Houston
4,"2015-11-29",151,744268,40925,6963,0,328055,328055,0,0,organic,2015,Houston
5,"2015-11-22",15,815836,455246,5892,0,354698,354698,0,0,organic,2015,Houston
6,"2015-11-15",15,985751,53424,4523,0,446988,446988,0,0,organic,2015,Houston
7,"2015-11-08",144,1002749,602894,8394,0,391461,391461,0,0,organic,2015,Houston
8,"2015-11-01",149,937704,554481,6257,0,376966,376966,0,0,organic,2015,Houston
9,"2015-10-25",148,1144539,720298,6511,0,41773,41773,0,0,organic,2015,Houston
10,"2015-10-18",148,1065202,690595,3952,0,370655,370655,0,0,organic,2015,Houston
11,"2015-10-11",148,1067423,651089,1068,0,405654,405654,0,0,organic,2015,Houston
12,"2015-10-04",148,108006,651105,10139,0,418816,418816,0,0,organic,2015,Houston
13,"2015-09-27",147,1241696,864711,5847,0,371138,371138,0,0,organic,2015,Houston
14,"2015-09-20",147,1178186,87338,4633,0,300173,300173,0,0,organic,2015,Houston
15,"2015-09-13",141,1356123,796537,3307,0,556279,554676,1603,0,organic,2015,Houston
16,"2015-09-06",136,962266,760904,6749,0,194613,1790,15613,0,organic,2015,Houston
17,"2015-08-30",122,1404527,1150769,5099,0,248659,190667,57992,0,organic,2015,Houston
18,"2015-08-23",126,105181,889686,9467,0,152657,146667,599,0,organic,2015,Houston
19,"2015-08-16",135,969979,799526,7477,0,162976,1550,7976,0,organic,2015,Houston
20,"2015-08-09",129,1499612,1310208,11404,0,1780,177333,667,0,organic,2015,Houston
21,"2015-08-02",117,995284,967937,1168,0,15667,14667,10,0,organic,2015,Houston
22,"2015-07-26",119,1305901,1223642,10592,0,71667,71667,0,0,organic,2015,Houston
23,"2015-07-19",121,1048718,1003498,35887,0,9333,9333,0,0,organic,2015,Houston
24,"2015-07-12",117,1174187,1139765,27755,0,6667,6667,0,0,organic,2015,Houston
25,"2015-07-05",117,127172,1173369,35351,0,630,630,0,0,organic,2015,Houston
26,"2015-06-28",121,1053195,927184,32011,0,940,940,0,0,organic,2015,Houston
27,"2015-06-21",122,1142963,966742,46554,0,129667,129667,0,0,organic,2015,Houston
28,"2015-06-14",121,1046445,929808,40637,0,760,760,0,0,organic,2015,Houston
29,"2015-06-07",119,1077386,979434,31285,0,66667,66667,0,0,organic,2015,Houston
30,"2015-05-31",123,989095,87119,18905,0,990,990,0,0,organic,2015,Houston
31,"2015-05-24",126,1235851,1114509,36675,0,84667,84667,0,0,organic,2015,Houston
32,"2015-05-17",125,1102661,1023481,3518,0,440,440,0,0,organic,2015,Houston
33,"2015-05-10",128,1072546,935566,4498,0,920,920,0,0,organic,2015,Houston
34,"2015-05-03",126,853245,730633,25279,0,97333,97333,0,0,organic,2015,Houston
35,"2015-04-26",126,1206611,1073901,48043,0,84667,84667,0,0,organic,2015,Houston
36,"2015-04-19",126,1385685,1220072,5228,0,113333,113333,0,0,organic,2015,Houston
